Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2017-03-24,"3,308,120","245,456,942",74.35,74.4,74.1,74.25,-0.10,548
2017-03-27,"2,474,340","183,601,806",74.0,74.4,73.85,74.2,-0.05,582
2017-03-28,"5,565,534","413,437,983",74.55,74.6,73.95,74.25,+0.05,"1,726"
2017-03-29,"2,464,193","182,878,025",74.45,74.5,74.0,74.0,-0.25,551
2017-03-30,"2,181,458","161,500,292",74.0,74.25,73.9,73.9,-0.10,424
2017-03-31,"2,008,887","148,377,572",73.95,74.1,73.7,73.7,-0.20,614
2017-04-05,"3,594,368","267,911,149",73.95,74.8,73.95,74.65,+0.95,"1,177"
2017-04-06,"2,811,150","209,240,706",74.8,74.8,74.3,74.4,-0.25,880
2017-04-07,"1,889,165","139,505,932",74.3,74.3,73.4,74.1,-0.30,887
2017-04-10,"1,060,789","78,625,981",74.1,74.25,74.0,74.2,+0.10,394
2017-04-11,"1,266,959","93,779,536",74.1,74.4,73.75,73.9,-0.30,647
2017-04-12,"1,940,147","143,460,184",73.9,74.1,73.65,74.05,+0.15,802
2017-04-13,"6,004,675","446,309,468",73.9,74.45,73.9,74.4,+0.35,877
2017-04-14,"2,674,280","196,994,842",73.9,73.9,73.5,73.55,-0.85,"1,263"
2017-04-17,"5,339,490","393,147,347",73.55,73.8,73.35,73.6,+0.05,"1,008"
2017-04-18,"4,099,924","302,371,805",73.85,74.0,73.5,73.6, 0.00,671
2017-04-19,"9,185,446","669,532,623",73.1,73.25,72.65,72.8,-0.80,"3,402"
2017-04-20,"3,142,256","228,422,188",72.55,72.9,72.5,72.8, 0.00,"1,420"
2017-04-21,"3,247,213","238,184,129",73.25,73.5,73.1,73.5,+0.70,"1,035"
2017-04-24,"4,309,464","317,407,130",73.9,73.95,73.45,73.65,+0.15,896
2017-04-25,"5,698,061","422,598,229",73.85,74.4,73.7,74.35,+0.70,"1,525"
2017-04-26,"4,117,953","307,089,866",74.7,74.7,74.4,74.55,+0.20,953
2017-04-27,"3,685,290","273,944,187",74.35,74.5,74.15,74.5,-0.05,734
2017-04-28,"4,423,100","329,448,991",74.5,74.6,74.3,74.55,+0.05,938
